year;date;place;transect ;plot;transect_plot;habitat;frame_no;grub_SPR;probe_SPR ;p_a;observer;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;2;72;17;7;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;2;72;17;8;25;1;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;3;73;17;1;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;3;73;17;2;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;3;73;17;3;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;3;73;17;4;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;3;73;17;5;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;3;73;17;6;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;3;73;17;7;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;3;73;17;8;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;4;74;17;1;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;4;74;17;2;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;4;74;17;3;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;4;74;17;4;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;4;74;17;5;25;na;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;4;74;17;6;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;4;74;17;7;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;4;74;17;8;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;8;1;81;15;1;25;1;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;8;1;81;15;2;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;8;1;81;15;3;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;8;1;81;15;4;25;3;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;8;1;81;15;5;25;4;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;8;1;81;15;6;25;na;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;8;1;81;15;7;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;8;1;81;15;8;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;8;2;82;17;1;25;na;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;8;2;82;17;2;25;6;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;8;2;82;17;3;25;na;1;Karin;;;;;;;;;;;;;;;;;;;;
