year;date;location;transect;plot;transect_plot;frame_no;frame_square;grub;observer;utm_x;utm_y;grub_prob
2012;1807;Hanaskogdalen_N;1;2;12;2;8;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;9;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;10;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;11;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;12;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;13;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;14;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;15;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;16;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;17;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;18;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;19;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;20;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;21;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;22;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;23;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;24;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;25;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;3;1;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;3;2;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;3;3;1;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;3;4;1;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;3;5;1;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;3;6;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;3;7;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;3;8;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;3;9;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;3;10;0;Anna;514166;8690568;15.5680
