OBJECTID;Survey_type;Plot_Type;Valley;Transect_no;Plot_no;Date;Year;Recorder;GPS_X;GPS_Y;Coordinate_system;Elev;Slope;Veg_type;Veg_type2;Veg_type_reduced;Star;Agent;Geese_present;Only_geese;Area_impacted;Grubbed_low;Grubbed_mid;Grubbed_high;Patch_size_bare;Recent_grubbing;Grubbing_present;LT_veg_change;Spatial_extent;Comment;NoteRene;NoteHelen
54;Plot;Large;Semmeldalen;NA;86;NA;1998;RvdW;508003;8656232;ED1950;65;0.83;8;8;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
234;Plot;Large;Semmeldalen;NA;86;NA;2018;RvdW;508003;8656232;ED1950;65;0.83;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
55;Plot;Large;Passdalen;NA;87;NA;1998;RvdW;504105;8657324;ED1950;210;16.17;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
235;Plot;Large;Passdalen;NA;87;NA;2018;RvdW;504105;8657324;ED1950;210;16.17;4;4;4;NA;G;Y;Y;M;NA;NA;NA;0;Y;Y;N;NA;NA;NA;NA
56;Plot;Large;Semmeldalen;NA;88;NA;1998;RvdW;507973;8656109;ED1950;65;1.56;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
236;Plot;Large;Semmeldalen;NA;88;NA;2018;RvdW;507973;8656109;ED1950;65;1.56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
57;Plot;Large;Passdalen;NA;89;NA;1998;RvdW;503775;8657186;ED1950;245;15.1;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
237;Plot;Large;Passdalen;NA;89;NA;2018;RvdW;503775;8657186;ED1950;245;15.1;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
58;Plot;Large;Semmeldalen;NA;90;NA;1998;RvdW;507969;8655842;ED1950;62;0.95;7;7;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
238;Plot;Large;Semmeldalen;NA;90;NA;2018;RvdW;507969;8655842;ED1950;62;0.95;7;7;7;NA;G;Y;Y;M;NA;NA;NA;0;N;Y;N;NA;Oldgrubbing;NA;NA
239;Plot;Large;Passdalen;NA;91;NA;2018;RvdW;503107;8656897;ED1950;265;26.63;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Glacierlinkedtoitthawingout;NA;NA
59;Plot;Large;Passdalen;NA;91;NA;1998;RvdW;503107;8656897;ED1950;265;26.63;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
60;Plot;Large;Semmeldalen;NA;92;NA;1998;RvdW;508083;8655754;ED1950;59;1.03;7;7;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
240;Plot;Large;Semmeldalen;NA;92;NA;2018;RvdW;508083;8655754;ED1950;59;1.03;7;7;7;NA;G,R;Y;N;L;NA;NA;NA;0;Y;Y;Y;NA;NA;NA;NA
61;Plot;Large;Passdalen;NA;93;NA;1998;RvdW;504835;8656460;ED1950;230;2.22;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
241;Plot;Large;Passdalen;NA;93;NA;2018;RvdW;504835;8656460;ED1950;230;2.22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
