Year,Sublocation,Survey_type,UTM_E,UTM_N,Datum,Grubbing_PresenceAbsence,Grubbing_Intensity,VegetationType_as_provided,DataShepherd,SpatialScale_GrubbingRecording,VegetationType_reclassified,Location_Valley,UTMZone,GrubbingType
2018,Semmeldalen,Valleywalk,509099,8654571,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508986,8654397,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508974,8654379,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508963,8654362,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508963,8654362,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508328,8653016,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508337,8653036,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508346,8653056,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508402,8653174,ED1950,1,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508664,8653729,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508673,8653748,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508683,8653768,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508701,8653808,ED1950,1,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508711,8653828,ED1950,1,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508720,8653847,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508739,8653887,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508795,8654006,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508842,8654105,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508851,8654124,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508860,8654144,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508879,8654184,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508888,8654204,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508935,8654303,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508944,8654322,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508954,8654342,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,506873,8657150,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,506858,8657161,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,506843,8657171,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,506553,8657373,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,506538,8657383,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,506462,8657436,ED1950,0,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,506447,8657447,ED1950,1,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,506219,8657606,ED1950,1,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,506204,8657617,ED1950,0,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,506188,8657627,ED1950,1,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,506173,8657638,ED1950,0,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,505096,8657835,ED1950,0,0.375,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,505108,8657823,ED1950,0,0.375,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,505120,8657812,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,505168,8657766,ED1950,0,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,505180,8657754,ED1950,0,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Passdalen,Valleywalk,505192,8657743,ED1950,1,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
